ISO_A2,University,Count,Country
UA,National Taras Shevchenko University of Kiev,76,Ukraine
UA,National Technical University (Kharkiv Polytechnical Institute),76,Ukraine
UA,National Technical University (Kiev Politechnical Institute),76,Ukraine
UA,National Transport University,76,Ukraine
UA,National University of Food Technologies,76,Ukraine
UA,National University of Internal Affairs,76,Ukraine
UA,National University of Kiev-Mohyla Academy,76,Ukraine
UA,National University of Ostroh Academy,76,Ukraine
UA,National University of Shipbuilding,76,Ukraine
UA,Odessa National Academy of Food Technologies,76,Ukraine
UA,Odessa National I.I. Mecnikov University,76,Ukraine
UA,Odessa National Marine University,76,Ukraine
UA,Odessa National Maritime Academy,76,Ukraine
UA,Odessa National Polytechnic University,76,Ukraine
UA,Odessa State Academy of Construction and Architecture,76,Ukraine
UA,Odessa State Medical University,76,Ukraine
UA,Petro Mohyla Black Sea State University,76,Ukraine
UA,Poltava National Technical University,76,Ukraine
UA,Poltava University of Consumer Cooperatives in Ukraine,76,Ukraine
UA,Precarpathian University,76,Ukraine
UA,Sevastopol National Technical University,76,Ukraine
UA,State Pedagogical University in Kryvyi Rih,76,Ukraine
UA,Sumy National Agrarian University,76,Ukraine
UA,Sumy State University,76,Ukraine
UA,Taurida National V.I.Vernadsky University,76,Ukraine
UA,Technological University of Podillya,76,Ukraine
UA,Ternopil Academy of National Economy,76,Ukraine
UA,Ternopil State Ivan Pul'uj Technical University,76,Ukraine
UA,Ukrainian Academy of Banking,76,Ukraine
UA,Ukrainian Academy of Pharmacy,76,Ukraine
UA,Ukrainian Medical Stomatological Academy,76,Ukraine
UA,Ukrainian National Forestry University,76,Ukraine
UA,Uzhgorod National University,76,Ukraine
UA,Vinnica National Technical University,76,Ukraine
UA,Volyn National University Lesja Ukrainka,76,Ukraine
UA,Zaporizhzhe National Technical University,76,Ukraine
UA,Zaporizhzhe National University,76,Ukraine
UG,Aga Khan University,19,Uganda
UG,Bugema University,19,Uganda
UG,Busitema University,19,Uganda
UG,Busoga University,19,Uganda
UG,Central Buganda University,19,Uganda
UG,Gulu University,19,Uganda
UG,Islamic University in Uganda,19,Uganda
UG,Kampala International University,19,Uganda
UG,Kampala University,19,Uganda
UG,Kyambogo University,19,Uganda
UG,Makerere University,19,Uganda
UG,Mbarara University of Science and Technology,19,Uganda
UG,Mountains of the Moon University,19,Uganda
UG,Mutesa 1 Royal University,19,Uganda
UG,Ndejje University,19,Uganda
UG,Nkumba University,19,Uganda
UG,St. Augustine International University,19,Uganda
UG,Uganda Christian University,19,Uganda
UG,Uganda Martyr's University,19,Uganda
TC,Charisma University,1,Turks and Caicos Islands
TM,International Turkmen Turkish University,1,Turkmenistan
TR,Abant Izzet Baysal University,92,Turkey
TR,Adnan Menderes University,92,Turkey
TR,Afyon Kocatepe University,92,Turkey
TR,Ahi Evran University,92,Turkey
TR,Akdeniz University,92,Turkey
TR,Anadolu University,92,Turkey
TR,Ankara University,92,Turkey
TR,Atatürk University,92,Turkey
TR,Atilim University,92,Turkey
TR,Bahcesehir University,92,Turkey
TR,Balikesir University,92,Turkey
TR,Baskent University,92,Turkey
TR,Beykent University,92,Turkey
TR,Bilecik University,92,Turkey
TR,Bilkent University,92,Turkey
TR,Bogazici University,92,Turkey
TR,Cag University,92,Turkey
TR,Canakkale (18th March) University,92,Turkey
TR,Cankaya University,92,Turkey
TR,Celal Bayar University,92,Turkey
TR,Cukurova University,92,Turkey
TR,Cumhuriyet (Republik) University,92,Turkey
TR,Dicle (Tirgris) University,92,Turkey
TR,Dogus University,92,Turkey
TR,Dokuz Eylül University,92,Turkey
TR,Dumlupinar University,92,Turkey
TR,Ege University,92,Turkey
TR,Erciyes University,92,Turkey
TR,Fatih University,92,Turkey
TR,Firat (Euphrates) University,92,Turkey
TR,Galatasaray University,92,Turkey
TR,Gaziantep University,92,Turkey
TR,Gaziosmanpasa University,92,Turkey
TR,Gazi University Ankara,92,Turkey
TR,Gebze Institute of Technology,92,Turkey
TR,Gediz University,92,Turkey
TR,Gulhane Military Medical Academy,92,Turkey
TR,Hacettepe University,92,Turkey
TR,Halic University,92,Turkey
TR,Harran University,92,Turkey
TR,Iasar University,92,Turkey
TR,Inönü University,92,Turkey
TR,Isik University,92,Turkey
TR,Istanbul Arel University,92,Turkey
TR,Istanbul Bilgi University,92,Turkey
TR,Istanbul Kultur University,92,Turkey
TR,İstanbul Şehir University,92,Turkey
TR,Istanbul Technical University,92,Turkey
TR,Istanbul Ticaret University,92,Turkey
TR,Istanbul University,92,Turkey
TR,Izmir Economic University,92,Turkey
TR,Izmir Institute of Technology,92,Turkey
TR,Kadir Has University,92,Turkey
TR,Kafkas University,92,Turkey
TR,Kahramanmaras Sütcü Imam University,92,Turkey
TR,Karadeniz Technical University,92,Turkey
TR,Kilis 7 Aralık University,92,Turkey
TR,Kirikkale University,92,Turkey
TR,Kocaeli University,92,Turkey
TR,Koc University,92,Turkey
TR,Maltepe University,92,Turkey
TR,Marmara University,92,Turkey
